config,sim,variation,app,post,average cycles,average instret
hardcore,banshee-results,baseline,convolution,0,2387,2377
hardcore,banshee-results,baseline,matmul_i8,0,4018,4017
hardcore,banshee-results,baseline,matmul_i16,0,4025,4026
hardcore,banshee-results,baseline,matmul_i32,0,2105,2106
hardcore,banshee-results,baseline,conv2d_i8,0,43778,43510
hardcore,banshee-results,xpulp,convolution,0,1814,1792
hardcore,banshee-results,xpulp,matmul_i8,0,1030,989
hardcore,banshee-results,xpulp,matmul_i16,0,1465,1267
hardcore,banshee-results,xpulp,matmul_i32,0,1632,1567
hardcore,banshee-results,xpulp,conv2d_i8,0,18126,18128
hardcore,rtl-results,baseline,convolution,0,4359,2377
hardcore,rtl-results,baseline,matmul_i8,0,4989,4017
hardcore,rtl-results,baseline,matmul_i16,0,5475,4026
hardcore,rtl-results,baseline,matmul_i32,0,2963,2106
hardcore,rtl-results,baseline,conv2d_i8,0,50535,43510
hardcore,rtl-results,xpulp,convolution,0,3867,1792
hardcore,rtl-results,xpulp,matmul_i8,0,1381,989
hardcore,rtl-results,xpulp,matmul_i16,0,2349,1267
hardcore,rtl-results,xpulp,matmul_i32,0,2611,1567
hardcore,rtl-results,xpulp,conv2d_i8,0,22182,18128
